פֿאַרװאָס ; why ; farvos
דער לעפֿל ; spoon (plural same as singular) ; lefl
כּמעט ; almost ; kemat
יעדערער ; each ; yederer
מוז ; must ; muz (e.g., muz habn)
צו ; too ; tsu (e.g., tsu alt)
שױן ; already ; shoyn
אַ פֿעדער װאָס איז בלױ ; a pen that is blue ; a feder vos is bloy
נישטאָ מער ; no more ; nishto mer
שטיל ; quiet ; shtil
די שטיקלעך פּאַפּיר ; pieces of paper ; di shtiklekh papir
כאַפּן אַרײַן אַ װאָדקע ; to take a shot of vodka ; khapn arayn a vodke
אים / איר צו לאַנגע יאָרן ; may he/she live long ; im/ir tsu lange yorn
נעכטן ; yesterday ; nekhtn
הײַנט ; today ; haynt
מאָרגן ; tomorrow ; morgn
 דער געבורטסטאָג (געבורטסטעג) ; birthday ; der geburtstog (geburtsteg)
 בײַם לעבן ; alive ; baym lebn
 שטערן ; to disturb / get in the way of / prevent ; shtern
 אױף יענער װעלט ; in the world to come ; af yener velt
 די זאָרג(ן) ; worry (noun) ; di zorg(n)
טאָר מען נישט ; must one not ; tor men nisht
װיכטיק ; important ; vikhtik
װיכטיקסטער ; most important ; vikhtikster
כּל-זמן ; as long as ; kol-zman
נאָך ; still ; nokh
אם-ירצה-השם ; God willing ; mirtsashem
גענוג ; enough ; genug
בעסער ; better ; beser
עפּעס ; something ; epes
עמעצער ; someone ; emetser
קײנער ; nobody ; keyner
קײנער איז נישטאָ ; there is no one ; keyner iz nishto
טונקל בלױ ; dark blue ; tunkl bloy
עס איז דאָ אַ ; there is a ; es iz do a...
עס איז נישטאָ קײן ; there isn't a ; es iz nishto keyn...
עס איז דאָ אַ בוך דאָ ; there is a book here ; es iz do a bukh do
לעבן ; near / next to ; lebn
מער עקזאַמען װי איך ; more exams than me ; mer ekzamen vi ikh (NB: ikh, not mir)
אַ פּיראַט איז װי אַ פּילאָט אױפֿן ים ; a pirate is like a pilot on the sea ; a pirat iz vi a pilot afn yam
יעדער ; every ; yeder
דער נאַר(אָדים) ; the fool(s) ; der nar(odim)
בײדע ; both ; beyde
אפֿשר ; maybe ; efsher
רענטגען בילד ; X-ray ; Rentgen bild
איבערחזר ; review (of study material) ; iberkhazer
דער שופֿלאָד(ן) ; drawer ; shuflod
דאָס מײַזל ; (computer) mouse ; mayzl
עס זײַנען דאָ אַ סך ביכער ; there are many books ; es zaynen do a sakh bikher (not זײ זײַנען)
מײַן ; my ; mayn
דײַן ; your (single) ; dayn
זײַן ; his (and neuter) (possessive adjective) ; zayn
איר ; her (possessive adjective) ; ir
אונדזער ; our ; undzer
אײַער ; your (plural) ; ayer
זײער ; their ; zeyer
עפֿן די מיקראָפֿאָן ; turn on the microphone ; efn di mikrofon
בלאָטע שבבלאָטע ; utter nonsense (lit. muddiest of mud, from Sholem Aleykhem) ; blote shebeblote
קױפֿן ; to buy ; koyfn
רײַך ; rich ; raykh
אָרעם ; poor ; orem
דאָס געלט(ער) ; money ; gelt
די װעלט(ן) ; world ; velt
דער חלום (חלומות) ; dream ; kholem / khaloymes
װאַרעם ; warm ; varem
דאָך ; of course ; dokh
שלעכט ; bad ; shlekht
גערעכט ; correct ; gerekht
זיס ; sweet ; zis
זױער ; sour ; zoyer
דער טאָפּ (טעפּ) ; pot ; top (tep)
די פֿאַן(ען) ; frying pan ; fan
די פּוטער ; butter ; puter
דער באָב(עס) ; bean ; bob
די/דער שװאָמ(ען) ; mushroom ; shvom(en)
דער מחבר (מהברים) ; author ; mekhaber (mekhabrem)
די קראָמ(ען) ; store ; krom
אײַנגעבױגן ; bent-over ; ayngeboygn
 די משפּחה (משפּחות); family ; mishpokhe
װילן ; to want ; viln
לױט ; according to ; loyt
װײס ניט קײנער ; no one knows ; veys nit keyner
נישט געשטױגן, נישט געפֿלױגן ; preposterous (lit. didn't ascend, didn't fly) ; nisht geshtoygn, nisht gefloygn
װאַקסן ; to grow ; vaksn
קריגן ; to get ; krign
װאָס װילסטו? דאָס טעלערל פֿון הימל? ; what do you want? a plate from the sky (heaven) [denotes something impossible to get] ; vos vilstu? dos telerl fun himl?
האַלטן אַ שמועס ; to hold a conversation ; haltn a shmues
װאָס הערט זיך? ; what's new with you? ; vos hert zikh?
װאָס זאָל זיך הערן? ; what's there to hear? (response to "vos hert zikh?") ; vos zol zikh hern?
נישטאָ קײן נײַעס ; nothing new (response to "vos hert zikh?") ; nishto kein nayes
די באָבע יערט זיך ; time goes on (funny response to "vos hert zikh?", lit. the grandmother gets a year older) ; di bobe yert zikh
דער גראַם(ען) ; rhyme ; gram(en)
מיט מזל [זאָלט איר / זאָלסטו] לעבן ; response to mazel tov ; mit mazl [zolt ir / zolstu] lebn
דער רבֿ (רבנים) ; rabbi ; rov (rabonem)
װעגן ; about, concerning (e.g., "talk about") ; vegn
אײַלן זיך ; to rush (e.g., "the messiah isn't rushing") ; ayln zikh
דערלאַנגן ; to pass / hand over ; derlangn
זי איז געשטאָרבן ; she's dead (blunt) ; zi iz geshtorbn
דאָס פּאָרפֿאָלק(ן) ; married couple ; porfolk(n)
דער/דאָס קישן(ס) ; pillow ; kishn(s)
די עלטערן ; parents (always plural, no singular) ; eltern
די טאָכטער (טעכטער) ; daughter ; di tokhter (tekhter)
דער זון (זין) ; son ; zun (zin)
דאָס שװעסטערקינד(ער) / דער קוזין(ס) / די קוזינע(ס) ; cousin ; dos shvesterkind(er) / der kuzin(s) / di kuzine(s)
די באָבע(ס) ; grandmother ; di bobe(s)
דער זײַדע(ס) ; grandfather ; der zeyde(s)
די שװעגערין(ס) ; sister-in-law ; di shvegerin(s)
די שװעסטער ; sister ; di shvester (plural same as singular)
דער ברודער (ברידער) ; brother ; der bruder (brider)
דער שװאָגער(ס) ; brother-in-law ; der shvoger(s)
דער פֿעטער(ס) ; uncle ; der feter(s)
די פּלימעניצע(ס) ; niece ; di plimenitse(s)
דער פּלימעניק(עס) ; nephew ; der plimenik(es)
די מומע(ס) / די טאַנטע(ס) ; aunt ; di mume(s) / di tante(s)
דער סוף ; the end ; der sof
דאָס עופֿעלע(ך) ; infant/baby ; dos eyfele(kh)
די מחותּנים ; son/daughter-in-law's parents ; di makhetonem
דער מחותּן ; son/daugher-in-law's father ; der mekhutn
די מחותּנתטע ; son/daughter-in-law's mother ; di mekhuteneste
פֿאָרן ; to travel by vehicle ; forn
די/דאָס מעל ; flour ; mel (no plural)
דער דאַך (דעכער) ; roof ; der dakh (dekher)
דער רעגן(ס) ; the rain ; der regn(s)
דער שנײ(ן) ; the snow ; der shney(n)
דער/די לאָך (לעכער) ; hole ; der/di lokh (lekher)
האַלב ; half (adj.) ; halb
מיט אַ יאָר צוריק ; last year ; mit a yor tsurik
גיבן ; to give ; gibn
דער שמירקעז ; cream cheese ; der shmirkez
שמירן ; to bribe / to grease ; shmirn
מזל-טובֿ צו דײַן ... ; congratulations on your ... (e.g., birthday, wedding) ; mazl tov tsu dayn ...
דער בױם (בײמער) ; tree ; der boym (beymer)
אַלײן ; alone ; aleyn
שװאַנגער ; pregnant ; shvanger
װײַנט ; far ; vaynt
נאָענט ; near ; noent
קענען ; to know (people / languages / skills) ; kenen
װיסן ; to know (facts) ; visn
פּונקט אַזױ ; exactly! ; punkt azoy
מסתּמא ; probably / likely ; mistome
אײגן ; own (e.g., "his own family") ; eygn
איך גלײב עס קױם ; I (can) barely believe it ; ikh gleyb es koym (kom)
קומען צו גאַסט צו אונדז ; to come to visit with us ; kumen tsu gast tsu undz
אָפֿט ; often ; oft
אוּװאַ ; wow ; uva
הײסט דאָס ; that is (to say) ; heyst dos
הײסט דאָס אַז ; (so) that means that ; heyst dos az
קױם ; barely ; koym (often pronounced kom)
דער טױער(ן) ; gate ; der toyer(n)
די קײט(ן) ; chain ; keyt
די חתן-כּלה ; groom and bride ; khosn-kale
די גאָלדענע קײט ; the golden chain (metaphor for Jewish religious and cultural tradition, particularly its inheritance) ; di goldene keyt
דער שטאָף(ן) ; material ; shtof
דער דור (דורות) ; generation(s) ; der dor (doyres)
די זאַך (זאַכן) ; thing(s) ; di zakh(n)
װאָכעדיק ; everyday / ordinary ; vokhedik
באַשרײַבן ; to describe ; bashraybn
דאָס שפּריכװאָרט (שפּריכװערטער) ; folk saying ; shprikhvort
דער זאַץ (זאַצן) ; sentence ; der zats(n)
אױב ; if ; oyb
נאָר ; only, but ; nor (same usage as "אָבער")
דער קלאַנג(ן) ; sound ; der klang(n)
דער קאַצניאָמער ; hangover ; der katsnyomer
העלפֿן ; to help ; helfn
דער טעפּעך (טעפּעכער) ; carpet ; der tepekh (tepekher)
זי טראָגט ; she's pregnant (lit. "carrying") ; zi trogt
פֿאַרשטײן ; to understand ; farshteyn
די בירגערשאַפֿט ; citizenship ; di birgershaft
רב ; mister (title) ; reb
דער אָריגינאַל(ן) ; original ; der original(n)
די קרובֿה (קרובֿות) ; female relative(s) ; di kroyve (kroyves)
דער קרובֿ (קרובֿים) ; male relative(s) (plural also mixed male/female) ; der korev (kroyvim)
װאָס פֿאַר אַ קרובֿ איז זישע מיט יודען? ; what type of relative is Zishe with Yude? ; vos far a korev iz Zishe mit Yuden (notice the -n)
דעם טאַטנס ברודער ; the father's brother ; dem tatns bruder (note the article)
דער מאַמעס ברודער ; the mother's brother ; der mames bruder (note the article)
די געשװעסטער ; the siblings ; di geshvester (unclear about singular)
דער צװילינג ; the pair of twins ; der tsviling (unclear about singular)
איך מײן אַז ; I think that... ; ikh meyn az...
זײַ(ט) אַזױ גוט ; please, informal (formal) ; zay(t) azoy gut
נישטאָ פֿאַרװאָס ; you're welcome (response to thank you) ; nishto farvos
זײַ(ט) מיר מוחל ; sorry, informal (formal) ; zay(t) mir moykhl
זי האָט חתונה געהאַט מיט ; she got married to... ; zi hot khasene gehat mit...
זי האָט זיך געגט ; she got divorced ; zi hot zikh geget (generic divorce, not a "get" specifically)
זי איז אַ חתונה געהאָטע ; she is married ; zi iz a khasene gehote
זי האָט געהאַט זיבן טעכטער ; she had seven daughers ; zi hot gehat zibn tekhter
דאָס מיטקינד(ער) ; sibling ; dos mitkind(er)
דאָס בין איך ; this is me (e.g., when showing a picture) ; dos bin ikh
דאָס איז אַלץ ; that's all ; dos iz alts
די קינדער זײַנען אַדאָפּטירט ; the children are adopted ; di kinder zaynen adoptirt
װײנען ; to cry ; veynen
לױפֿן ; to run ; loyfn
די יונגע מומע ; the young aunt ; di yunge mume (note the extra ayen)
דאָס טרױעריקע שװעסטערקינד ; the sad cousin ; dos troyerike shvesterkind (note the extra ayen)
די אײנצאָל ; singular (gramatically) ; di eyntsol
דער שװאַכער זײדע ; the weak grandfather ; der shvakher zeyde (note the extra ayen-reysh)
אַ יונגע מומע ; a young aunt ; a yunge mume (note the extra ayen)
אַ טרױעריק שװעסטערקינד ; a sad cousin ; a troyerik shvesterkind (note nothing is done to adjective)
אַ שװאַכער זײדע ; a weak grandfather ; a shvakher zeyde (note the extra ayen-reysh)
פֿיר מאָל ; four times (e.g., "she was married four times") ; fir mol
באַלאַגאַן ; mess, chaos ; balagan (from Persian via Turkish and Russian)
דער דיל ; the floor (always inside) ; der dil
הענגן ; to hang (e.g., "the picture is hanging on the wall") ; hengn
ליגן ; to lie (e.g., "the book is lying on the counter") ; lign
גענוג צײַט ; enough time (e.g., "had enough time?") ; genug tsayt
אַ גלאָז װײַן ; a glass of wine ; a gloz vayn (no preposition between גלאָז and װײַן)
דאָס קיכל(עך) ; cookie ; dos kikhl(ekh)
נעמען ; to take ; nemen
נײטראַל ; neuter (gramatically, adjective) ; neytral
דאָס טעפּל(עך) ; cup ; dos tepl(ekh)
די אָראַנזשענע העפֿט ; the orange workbook ; di oranzhene heft (note the extra ענע-, not ע-)
דאָס לילאַ פּאַפּיר ; the purple paper ; dos lila papir (note lila never changes, same with פּערפּל)
דער ראָזעװער בלײַער ; the pink pencil ; der rozever blayer (note, adds ר-, not ער-)
חנעװדיק ; cute, charming ; kheynevdik
אַנדער ; different (adjective, e.g., "a different room") ; ander
סאַראַ באַלאַגאַן; what a mess! ; sara balagan!
מילא ; anyway ; meyle
נאָך אַלץ ; still ; nokh alts
גלאַט אַזױ ; no particular reason ; glat azoy
להבֿדיל ; excuse / forgive the comparison ; lehavdil
זשע ; then (emphasis), suffix to intensity imperative verb ; zhe (e.g., "kumt-zhe!")
אַנדערש ; different (adverb, e.g., "the room looks different") ; andersh
השומר אָחי אָנוכי ; am I my brother's keeper? (used to humorously express indignance at being asked a supposedly inappropriate question: "how should I know?") ; hashoymer okhi onoykhi?
פֿון װאַנען זאָל איך װיסן? ; how should I know? ; fun vanen zol ikh visn?
דער װעטער(ן) ; the weather ; der veter
װי איז דער װעטער הײַנט? ; how is the weather today? ; vi iz der veter haynt?
עס איז פֿאַרװאָלקנט ; it's cloudy ; es iz farvolknt
עס שײַנט די זון / די זון שײַנט ; the sun is shining ; es shaynt di zun / di zun shaynt
מאָדנע ; strange, weird ; modne
עס גײט אַ רעגן ; it's raining ; es geyt a regn
עס גײט אַ שנײ ; it's snowing ; es geyt a shney
עס בלאָזט אַ װינט ; it's windy ; es blozt a vint
עס איז הײס / װאַרעם / קאַלט ; it's hot / warm / cold ; es iz heys / varem / kalt
עס איז פֿאַרנעפּלט ; it's foggy ; es iz farneplt
דער נעפּל(ען) ; the fog ; der nepl(en)
פּונקט װי אױף ענגליש ; just like in English ; punkt vi af in english
װיפֿל גראַד ; what temperature ; vifl grad (lit. how many degrees?)
דערפֿאַר ; therefore ; derfar
דאָרט ; there ; dort
איך גײ נישט אין דרױסן ; I don't go outside ; ikh gey nisht in droysn
די גאַנצע צײַט ; all the time ; di gantse tsayt
איך בלײַב אין בעט ; I stay in bed ; ikh blayb in bet
אָפּטימיסטיש ; optimistic ; optimistish
נאַיװ ; naive ; naiv
ענטוזיאַסטיש ; enthusiastic ; entuziastish
אינטעלעקטועל ; intellectual ; intelektuel
אינטערעסאַנט ; interesting ; interesant
קאָסמאָפּאָליטיש ; cosmpolitan ; kosmopolitish
אַריסטאָקראַטיש ; aristocratic ; aristokratish
רעליגיעז ; religious ; religiez
דער געדאַנק(ען) ; thought, idea ; der gedank(en)
ער טראָגט אַ רױט העמד ; he wears a red shirt ; er trogt a roit hemd
דער לײענער ; reader (masculine) ; der leyener
דער שרײַבער ; writer (masculine) ; der shrayber
די רעדערין ; speaker (feminine) ; di rederin
די זינגערין ; singer (feminine) ; di zingerin
זי איז אַ גוטער מענטש ; she's a good person ; zi iz a guter mentsh
באַליבט ; favorite (adjective) ; balibtst
טײַערסטע ; dearest ; tayerste
חידוש ; no surprise there ; khidesh
ניצן ; to use, make use of ; nitsn
הפֿקר ; forsaken ; hefker
דער אָרעם(ס) ; arm ; der orem
עלנטיקן ; to go around lonely ; elntikn
די טרײסטונג ; comfort ; treystung
געמישט ; mixed ; gemisht
שענער ; more pretty ; shener
צי מײנסט דו אַז... ; do you think that... ; tsi meynst du az...
ענטפֿערן ; to answer ; entfern
ער בלאָזט זיך װי אַן אינדיק ; he puffs himself up like a turkey (he expresses anger or arrogance) ; er blozt zikh vi an indik
דער צד ; side (as in, "father's side" or side in a disagreement) ; der tsad
די פֿאָרשטעלונג(ען) ; performance ; forshtelung(en)
אױסערגעװײנלעך ; extraordinary ; oysergeveynlekh
סײַ...סײַ... ; both... and... ; say ... say ...
דאָס אױג(ן) ; the eye ; oyg(n), diminutive אײגעלע
באַװוּסט ; famous ; bavust
די באַק(ן) ; cheek ; di bak(n)
דער צאָן (צײן) ; tooth ; der tson (tseyn)
דאָס מױל (מײלער) ; mouth ; dos moyl (meyler)
שאַפֿן ; to create ; shafn
אָפֿן ; open (adjective) ; ofn
דער עפּל ; apple ; der epl (plural same as singular)
די ביבליאָטעקערין ; the librarian (fem) ; di bibliotekerin
דער קרעמער ; the shopowner (masc) ; der kremer
דער קאַסיר / די קאַסירשע ; the cashier (masc/fem) ; der kasir / di kasirshe
די אױפֿראַמערין ; the cleaner (fem) ; di uframerin (note u- not oy-)
די שנײַדערין ; the tailor (fem) ; di schnayderin
דער שופֿט (שופֿטים) ; the judge (masc) ; der shoyfet (shoyftem)
דער שוסטער ; the cobbler (masc) ; der shuster
די קעלנערין ; the server (fem) ; di kelnerin
דער בעקער ; the baker (masc) ; der beker
דער קוכער / די קעכין ; the cook (masc/fem) ; der kukher / di kekhin
דער רעסטאָראַן(ען) ; the restaurant ; der restoran(en)
די בעקערײַ(ן) ; the bakery ; di bekeray(n)
לײגן אַ לאַטע ; to patch a garment ; leygn a late
איבערניצעװען ; to recycle / re-sew a garment for reuse ; ibernitseven
דער פֿאָטאָגראַפֿ / די פֿאָטאָגראַפֿין ; the photographer (masc/fem) ; der fotograf / di fotografin
די פֿאָטאָגראַפֿיע(ס) ; photographs ; di fotografye(s)
דאָס ביוראָ ; the office ; dos byuro
דאָס געריכט ; the court ; dos gerikht
דאָס קלײד(ער) ; clothing ; dos kleyd(er)
דער קונה (קונים) ; customer ; der koyne (koynem)
די טרעפֿונג(ען) ; the meeting ; di trefung
פּלאַנירן ; to plan ; planirn
גיסן ; to pour liquids ; gisn
נײען ; to sew ; neyen
קאָכן ; to cook ; kokhn
באַשטעלן ; to order (food, goods, etc) ; bashteln
ברענגען ; to bring ; brengen
פֿאַרקױפֿן ; to sell ; farkoyfn
שװימען ; to swim, float (inanimate and animate objects) ; shvimen
שטעלן ; to put ; shteln
דער קאַסטן(ס) ; box ; der kastn(s), diminutive is קעסטל
דער בעל-הבית (בעלי-בתּים) / די בעל-הביתטע (בעל-הביתטעס) ; the boss, master/mistress of the house (masc/fem) ; der balebos (balebatem) / di baleboste (balebostes)
די קאַפּעליע(ס) ; band (musical group) ; di kapelye(s)
דער שפּיטאָל (שפּיטעלער) ; hospital ; der shpitol (shpiteler)
דער אַקטיאָר(ן) ; actor ; der aktyor(n)
איך בין (נישט) מסכּים ; I (don't) agree ; ikh bin (nisht) maskem
דער מוזיקער(ס) ; musician (masc) ; der muziker(s)
אַ סך ; a lot ; a sakh (no preposition afterwards)
אַ ביסל ; a little ; a bisl (no preposition afterwards)
אַ קלײן ביסל ; a very little ; a kleyn bisl (no preposition afterwards)
מער װי ; more than ; mer vi
װײניקער װי ; less than ; veyniker vi
אַװדאי ; of course ; avade
אױף מיר געזאָגט ; I should be so lucky ; af mir gezogt
איך מײן אַז יאָ / נישט ; I believe so / I don't believe so ; ikh meyn as yo / nisht
די מײנונג(ען) ; the opinion ; di meynung(en)
װאָס מײן “אַ סך“ ; what does "a sakh" mean? ; vos meyn "a sakh"?
דער לימוד (לימודים) ; subject / area of study ; der limed (limudem)
װאָס מײנסטו? ; what do you think? ; vos meynstu?
אַלע מאָל ; every time ; ale mol
נודנע ; boring ; nudne
די לעקציע(ס) ; lecture ; di lektsye(s)
האַלטן ; to hold (e.g., "hold an exam / presentation / lecture") ; haltn
דער רעפֿעראַט(ן) ; lecture / presentation / scholarly talk ; der referat(n)
דער אױספֿרעג(ען) ; quiz, survey, poll ; der oysfreg(en)
נודיען ; to be annoying or boring ; nudyen
זשאַלעװען ; to be stingy ; zhaleven
כראָפּען ; to snore ; khropen
כליפּען ; to sob ; khlipen
צינדן ; to kindle ; tsindn
אָן ; without (e.g., "tea without sugar") ; on
פֿרי ; early (adverb) ; fri
פּלוצלינג ; suddenly (adverb) ; plutsling
זוכן ; to seek, search ; zukhn
רעדן צװישן זיך ; talk among themselves ; redn tsvishn zikh
צװישן ; between, among ; tsvishn
אַװעקלײגן ; to put down / away ; avekleygn
שרײַבן גאַנצע זאַצן ; to write complete sentences ; shraybn gantse zatsn
טײל פֿון ; part of ; teyl fun
אײדער ; before ; eyder
דער יום-טובֿ (יום-טובֿים) ; major religious holiday ; der yontev (yontoyvem)
פֿאַרגלײַכן ; to compare ; farglaykhn
נאָכמיטאָג ; afternoon ; nokhmitog
פֿרעמדע מענטשן ; strangers ; fremde mentshn
פֿאַרדינען ; to earn (money) ; fardinen
האָפֿנטלעך ; hopefully ; hofntlekh
דער מיטאַרבעטער(ס) ; coworker ; der mitarbeter(s)
ער מאַכט אַ טומל ; he makes a ruckus ; er makht a tuml
נײַן אַזײגער ; nine o'clock ; nayn azeyger
װײניק ; little (opposite of "a lot", negative implication) ; veynik
אַ מאָל ; sometimes (e.g., "you get up early?" "sometimes") ; a mol
בלײַבן ; to remain ; blaybn
װאָס זשע װילסטו? ; *what* do you want? (emphatic) ; vozhe vilstu?
דער שטײן(ער) ; stone ; der shteyn(er)
די תּורה ; Torah ; di toyre
לערנען תּורה ; to study Torah ; lernen toyre
בײַם סוף פֿון ליד ; at the end of the song ; baym sof fun lid
אױסקלײַבן ; to choose / select ; oysklaybn (konverb)
פֿאַלן ; to fall ; faln
זעלטן ; rare ; zeltn
פּסח ; Passover ; peysekh
מער װײניקער ; more or less, approximately ; mer veyniker
פֿאַרנומען ; busy ; farnumen
גרײטן ; to prepare ; gretyn
דער אַרױסרעד(ן) ; pronunciation ; der aroysred(n)
קאָנטראָלירן ; to check ; kontrolirn
איבערחזרן ; to review ; iberkhazrn (konverb)
פֿױל ; lazy ; foyl
לערנען זיך ; to study / learn ; lernen zikh (verb in "zikh" is more like a schwa, because it's unstressed)
װערן ; to become ; vern
אין דער פֿרי לערנט ער זיך כעמיע ; in the morning he studies chemistry ; in der fri lernt er zikh khemye
ער לערנט זיך נישט כעמיע ; he doesn't study chemistry ; er lernt zikh nisht khemye
אין דער פֿרי לערנט זיך דער קלוגער סטודענט כעמיע ; the clever student studies chemistry in the morning ; in der fri lernt zikh der kluger student khemye
כּמעט אַלץ ; almost anything ; kemat alts
פֿליסיק ; fluent ; flisik
װי מעגלעך ; as possible ; vi meglekh
פֿאַרשטומט ; muted (e.g., on zoom) ; farshtumt
מען פּראַװעט אַ סדר ; people celebrate/conduct a seyder ; men pravet a seyder
די הגדה (הגדות) ; haggadah ; di hagode (hagodes)
דער קשיא (קסיות) ; religious or philosophical question (e.g., the four questions in the Passover seder) ; der kashe (kashes)
די שאלה (שאלות) ; question of ritual, especially of Halakha ; di shayle (shayles)
דער כּוס (כּוסות) ; cup (loshn-koydesh) ; der kos (koyses)
דער חמץ ; chametz (food with leavening that is forbidden during Passover) ; der khomets
די דאָזיקע נאַכט ; this very night ; di dozike nakht
מיר מעגן עסן ; we may eat ; mir megn esn
מעגן ; to be allowed to, to be possible that ; megn
דאָס גרינס(ן) ; vegetable ; dos grins(n)
צוריקגײן ; to go back ; tsurikgeyn (konverb)
איך גײ צוריק ; I go back ; ikh gey tsurik (konverb)
איך גײ נישט צוריק ; I don't go back ; ikh gey nisht tsurik (konverb)
צוריק ; back (adverbial complement for konverbs) ; tsurik
אַרױס ; out (adverbial complement for konverbs) ; aroys
אַװעק ; away (adverbial complement for konverbs) ; avek
אַרײַן ; in (adverbial complement for konverbs) ; arayn
שמעקן ; to smell ; shmekn
דער חבֿר(ים) / די חבֿרטע(ס) ; friend, buddy, (communist) comrade (masculine / feminine) ; der khaver (khaveyrem) / di khaverte(s)
דער צימער(ן) ; room (on the smaller side, e.g., office or bedroom) ; der tsimer(n)
דער זאַל(ען) ; room (on the larger side, e.g., hall or auditorium) ;der zal(en)
אָנהײבן ; to begin ; onheybn (konverb), always followed by infinitive
אױפֿהערן ; to stop ; ufhern (konverb), always followed by infinitive
איך הײב אָן שרײַבן ; I start writing ; ikh heyb on shraybn
איך הײב נישט אָן שרײַבן ; I don't start writing ; ikh heyb nisht on shraybn
איך הער אױף שרײַבן ; I stop writing ; ikh her uf shraybn
איך הער נישט אױף שרײַבן ; I don't stop writing ; ikh her nisht uf shraybn
אַרױסגײן פֿון... ; to go out of the... ; aroysgeyn fun... (konverb)
צוריקקומען אין... ; to come back into the... ; tsurikkumen in... (konverb)
אַרײַנלײגן ; to put in ; araynleygn (konverb)
דאָ ; here ; do
אַרױסנעמען ; to take out ; aroysnemen (konverb)
װער ; who ; ver
װאָס ; what ; vos
װאָסער(ע) ; which ; voser(e)
װוּ ; where ; vu
װי ; how ; vi
פֿון װאַנען ; from where ; fun vanen
ליב האָבן ; to like ; lib hobn (periphrastic verb)
איך האָב ליב צו לײענען ; I like to read ; ikh hob lib tsu leyenen (note the צו)
די נײטערין ; the seamstress ; di neyterin
דער צײַטפֿאַרטרײַב ; hobby / pasttime ; der tsaytfartrayb
אפֿשר האָט ער נישט ליב צו טאַנצן ; maybe he doesn't like to dance ; efsher hot er nisht lib tsu tantsn (note word order)
איך האָב יאָ ליב קאַװע ; I *do* like coffee ; ikh hob yo lib kave (יאָ is emphasis here, often in response to נישט)
איך האָב ליב זיך צו לערנען ; I like to study ; ikh hob lib zikh tsu lernen (note position of זיך)
פֿאַרמאַך / פֿאַרשטום די מיקראָפֿאָן ; turn off / mute the microphone ; farmakh / farshtum di mikrofon
װערטער סדר ; word order ; verter seyder
די כװאַליע(ס) ; wave (e.g., in ocean) ; di khvalye(s)
דער טײַך(ן) ; river ; der taykh(n)
דער קנעכט / דער שקלאַף(ן) ; slave ; der knekht (plural same as singular) / der shklaf(n)
רויִק ; calm, quiet ; ruik
עס געפֿעלט אײַך דאָס ליד? ; do you enjoy the song? ; es gefelt aykh dos lid?
